connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
11.877655421372843,lightcoral,lightcoral,14.0,Solyc02g093720,Solyc02g093720.3,TPX2 (Targeting protein for Xklp2) protein family (AHRD V3.3 *-* F4J761_ARATH)
11.517121426883222,lightcoral,lightcoral,14.0,Solyc12g098590,Solyc12g098590.3,Glycosyltransferase (AHRD V3.3 *** A0A2I4GJH4_9ROSI)
10.399268221251829,lightcoral,lightcoral,14.0,Solyc01g096630,Solyc01g096630.3,Cilia-and flagella-associated protein 20 (AHRD V3.3 *-* A0A2G2YYL7_CAPAN)
9.854466868019149,lightcoral,lightcoral,14.0,Solyc11g066580,Solyc11g066580.3,"Flavonoid 3`,5`-hydroxylase (AHRD V3.3 *** D3W9H7_SOLLC)"
9.705027961347984,lightcoral,lightcoral,14.0,Solyc03g116630,Solyc03g116630.3,cytochrome P450 family protein (AHRD V3.3 *** AT1G52565.1)
9.640034769369002,lightcoral,lightcoral,14.0,Solyc05g056320,Solyc05g056320.3,Smr (Small MutS-related) domain protein (AHRD V3.3 *** A0A2K3NNB3_TRIPR)
9.433946423975272,lightcoral,lightcoral,14.0,Solyc02g072540,Solyc02g072540.3,Non-specific serine/threonine protein kinase (AHRD V3.3 *** A0A2G2XE54_CAPBA)
9.32263764225151,lightcoral,lightcoral,14.0,Solyc04g012120,Solyc04g012120.3,SIG5 14-3-3 family protein
9.159925812580363,lightcoral,lightcoral,14.0,Solyc04g077920,Solyc04g077920.3,Interferon-related developmental regulator family protein / IFRD protein family (AHRD V3.3 *** A0A2U1KUG8_ARTAN)
9.070353630713873,lightcoral,lightcoral,14.0,Solyc02g085020,Solyc02g085020.4,dihydroflavonol 4-reductase
